33727	Dialog/Drawer	CLOSE-RESOLVED		No separate backdrop div to leak (native `::backdrop`)
34309	Dialog/Drawer	CLOSE-RESOLVED		Native `::backdrop` — no backdrop element/root to configure
36463	Dialog/Drawer	CLOSE-RESOLVED		`_closeAndCleanup` keeps `dialog-open` while any modal dialog remains
38814	Dialog/Drawer	CLOSE-RESOLVED		`.modal` container model gone; native dialog is the element
39258	Dialog/Drawer	CLOSE-RESOLVED		Dialog/drawer no longer use the custom FocusTrap util
39862	Dialog/Drawer	CLOSE-RESOLVED		Tab-cycle page scroll was custom focus-trap; native trap now
40873	Dialog/Drawer	CLOSE-RESOLVED		`::backdrop` transitions with the dialog in CSS
41005	Dialog/Drawer	CLOSE-RESOLVED		No manual `aria-hidden`; top layer + native inert
41958	Dialog/Drawer	CLOSE-RESOLVED		Shift-Tab bg scroll was custom focus-trap; native trap
42440	Dialog/Drawer	CLOSE-RESOLVED		Native dialog uses `[open]`, no inline `display` styles (CSP)
42503	Dialog/Drawer	CLOSE-RESOLVED		Native focus trap; DOM order irrelevant
38447	Dialog/Drawer	VERIFY		Non-modal `show()` gets no aria-modal; verify backdrop:false+scroll:false
34213	Dialog/Drawer	KEEP-BUG		`hide()` still returns early while `_isTransitioning`
36962	Dialog/Drawer	KEEP-BUG		Responsive `lg:drawer` dismiss `.closest('.drawer')` won't match (labeled v6)
39900	Dialog/Drawer	KEEP-BUG		NVDA reads all modal content on launch; needs SR testing
39972	Dialog/Drawer	KEEP-BUG	42545	`dialog-open` bare overflow:hidden, no gutter compensation → shift
35664	Dialog/Drawer	KEEP-FEATURE		`setOptions()` after creation
41188	Dialog/Drawer	KEEP-FEATURE		Reliable transition-complete callback/API
38887	Dialog/Drawer	VERIFY		Listeners bound once in constructor, not per-open
41473	Dialog/Drawer	VERIFY		`_queueCallback` guards null element
38162	Dialog/Drawer	VERIFY		dialog-base non-modal Esc handler
37155	Dialog/Drawer	VERIFY		Native `cancel` fires on Esc after backdrop click
39408	Dialog/Drawer	VERIFY		`modal:false` → native non-modal allows outside focus
38515	Dialog/Drawer	VERIFY		Native top-layer/inert by design; use `modal:false`
39780	Dialog/Drawer	VERIFY		`_isTransitioning` blocks toggle mid-transition
41606	Dialog/Drawer	VERIFY		Native dialog focus handling
41059	Dialog/Drawer	VERIFY		`showModal()` native top-layer/inert
34584	Dialog/Drawer	VERIFY		Native non-modal `show()` semantics
37613	Dialog/Drawer	VERIFY		`dialog-instant` class → `_isAnimated()` false
41430	Dialog/Drawer	VERIFY		No ScrollBarHelper / width measurement
40640	Dialog/Drawer	VERIFY		`--dialog-width` token settable per element
39987	Dialog/Drawer	VERIFY		Native `::backdrop`; verify manual-pointer-open case
42459	Dialog/Drawer	KEEP-BUG		Dialog content overflows on resize (reported on v6-dev)
38070	Dialog/Drawer	KEEP-BUG	42544	Close scrolls back to trigger (focus w/o `{preventScroll}`)
41615	Dialog/Drawer	KEEP-BUG	42544	Close scrolls to top w/ `scroll-padding-top`
35391	Dialog/Drawer	KEEP-BUG	42544	Restore focus with `{preventScroll:true}`
36681	Dialog/Drawer	KEEP-BUG		Offcanvas anchor click stops scrolling (Chrome)
35934	Dialog/Drawer	KEEP-BUG	42544	`dispose()` on open modal leaves body mutations
39910	Dialog/Drawer	KEEP-BUG	42544	`dispose()` doesn't reset scrollbars
39221	Dialog/Drawer	KEEP-BUG	42545	Offcanvas open 1px displacement (scrollbar)
40659	Dialog/Drawer	KEEP-BUG	42545	`scrollbar-gutter:stable` shifts content + white gutters
40908	Dialog/Drawer	KEEP-BUG	42545	Safari offcanvas open changes window width → media query
39270	Dialog/Drawer	KEEP-BUG		navbar-offcanvas translateY page-width overflow (check)
39287	Dialog/Drawer	KEEP-BUG		Initial transition missing when placement set via JS
41307	Dialog/Drawer	KEEP-BUG		Modal scale/position w/ pinch-zoom iOS (likely wontfix)
31266	Dialog/Drawer	KEEP-FEATURE		Chainable `.on()` listener method
37158	Dialog/Drawer	KEEP-FEATURE		Keyboard-escape & focus options for Toasts
38911	Dialog/Drawer	KEEP-FEATURE		Responsive offcanvas placement per breakpoint
39290	Dialog/Drawer	KEEP-FEATURE		Re-evaluate modal configs on `show()`
39433	Dialog/Drawer	KEEP-FEATURE		`modal-xxl` size (has-pr)
41580	Dialog/Drawer	KEEP-FEATURE		Close-button a11y without CSS
37916	Dialog/Drawer	KEEP-FEATURE		Make hide-on-window-resize optional
36647	Dialog/Drawer	KEEP-FEATURE		Close offcanvas on browser back button
39415	Dialog/Drawer	DOCS		offcanvas-navbar example uses non-standard `offcanvas-collapse`
33957	Tooltip/Popover/Menu	CLOSE-RESOLVED		Menu always runs Floating UI (no nav exception)
34110	Tooltip/Popover/Menu	CLOSE-RESOLVED		Menu now has a `strategy` option
35774	Tooltip/Popover/Menu	CLOSE-RESOLVED		Menu `container` + `boundary` + `strategy:fixed`
35793	Tooltip/Popover/Menu	CLOSE-RESOLVED		Menu Escape focuses the toggle
36789	Tooltip/Popover/Menu	CLOSE-RESOLVED		Popper is gone (Floating UI)
37428	Tooltip/Popover/Menu	CLOSE-RESOLVED		Escape keydown guarded (`if (!getToggleButton) return`)
37474	Tooltip/Popover/Menu	CLOSE-RESOLVED		`_activeTrigger` always initialized
38842	Tooltip/Popover/Menu	CLOSE-RESOLVED		Menu has a `container` option
39103	Tooltip/Popover/Menu	CLOSE-RESOLVED		Now the dedicated Combobox component
39692	Tooltip/Popover/Menu	CLOSE-RESOLVED		Tooltip Escape dismiss already implemented in v6
37977	Tooltip/Popover/Menu	CLOSE-WONTFIX		input+toggle is Combobox's job; focus is integral
38874	Tooltip/Popover/Menu	CLOSE-WONTFIX		use `customClass` + `--tooltip-max-width`
39182	Tooltip/Popover/Menu	CLOSE-WONTFIX		One-instance-per-element intentional (different keys)
41148	Tooltip/Popover/Menu	CLOSE-WONTFIX		manual `.show` class never inits Menu — by design (DUP 41344)
41182	Tooltip/Popover/Menu	CLOSE-WONTFIX		select arrow vs autofill — browser limitation
